type,id,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,email,name,opening_hours,operator,phone,service:bicycle:ebike,service:bicycle:parts,service:bicycle:repair,shop,website,id_prop,created_by,service:bicycle:retail,service:bicycle:second_hand,addr:country,service:bicycle:bike,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:mtb,service:bicycle:service,service:bicycle:tools,image,payment:credit_cards,payment:debit_cards,service:bicycle:pump,wheelchair,amenity,check_date:opening_hours,contact:email,fax,level,service:bicycle:rental,addr:housename,addr:housenumber:old,addr:street:old,designation,source,addr:place,service:bicycle:diy,contact:fax,contact:phone,addr:floor,payment:cash,check_date:currency:XBT,currency:XBT,description,payment:lightning,payment:lightning_contactless,payment:onchain,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:bicycle,service:bicycle:chain_tool,service:bicycle:sales,contact:website,check_date:service:bicycle:retail,addr:suburb,commons,repair,atm,vending,vending_machine,payment:mastercard,alt_name,brand,brand:wikidata,brand:wikipedia,note,payment:american_express,payment:diners_club,payment:ep_geldkarte,payment:jcb,payment:maestro,payment:unionpay,payment:visa,bicycle,information,map_size,map_type,mtb,tourism,entrance,ele,at_bev:addr_date,mobile,start_date,compressed_air,contact:facebook,contact:instagram,contact:mobile,contact:name,payment:contactless,phone:mobile,check_date:service:bicycle:pump,service,payment:cards,payment:coins,payment:notes,identity,provides,source:date,toilets:wheelchair,fixme,service:bicycle:sportswear,advertising,cafe,old_name,poster,barrier,nobrand,payment:app,payment:apple_pay,addr:unit,payment:account_cards,opening_hours:signed,step_count,addr:door,payment:v_pay,service:bicycle:bicycle_sales_and_service,UID,opening_hours:url,service:bicycle:cargobike,not:brand:wikidata,ref:vatin,internet_access,second_hand,parts,official_name,service:bicycle:rental:electric_mtb,service:bicycle:rental:mtb,service:bicycle:rims,service:bicycle:wheels,service:bicycle:emtb,service:bicycle:screwdriver,currency:EUR,payment:girocard,payment:visa_debit,service:bicycle:chaintool,service:bicycle:service_case,service:bicycle:stand,service:bicycle:suspension,service:bicycle:suspension_service,service:bicycle:wash,stroller,operator:wikidata,service:bicycle:charging,bicycle:rental,alt_name:de,payment:credit_card,trade,bicycle:type,addr:hamlet,url,building:levels,addr:flats,air_conditioning,service:bicycle:spare_parts,toilets,rental,internet_access:fee,fee,contact:whatsapp,internet,payment:paypal,service:bicycle:tuning,sport,branch,check_date:service:bicycle:repair,toilets:access,toilets:fee,toilets:gender_segregated,access,opening_date,service:bicycle:accessories,instagram,capacity,operator:type,bicycle_rental,payment:qr_code,changing_table,dog,handwashing:soap,toilets:handwashing,toilets:paper_supplied,toilets:position,geometry
Feature,node/260990966,Wien,206,1140,Hütteldorfer Straße,2025-12-06,office@moodybiketech.at,Moody Bike Tech,"Mo-Fr 07:00-22:00; Sa, Su 07:00-18:00",Kian Aprin,+43 660 6850224,yes,yes,yes,bicycle,https://www.moodybiketech.at/,node/260990966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.2821148,48.1975489]}"
Feature,node/262695104,,,,,,werschitz@sport2000.at,Werschitz,,,+43 7562 5323,,,yes,bicycle,https://sport2000.at/de/sport-werschitz/ve-158,node/262695104,Potlatch 0.8c,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.3303493,47.7203648]}"
Feature,node/279141475,Krems an der Donau,103,3500,Steiner Landstraße,,info@rundumsrad.at,Rund um's Rad,Mo-Fr 09:00-18:00; Sa 09:00-12:00; PH off,Andreas Geyer,+43 2732 71071,yes,yes,yes,bicycle,https://www.rundumsrad.at/,node/279141475,,yes,,AT,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.577758,48.4004543]}"
Feature,node/288172339,Graz,130-132,8020,Alte Poststraße,,,Neubauer Zweirad,Mo-Fr 08:00-18:00; Sa 08:00-12:00,Roman und Roman Neubauer Zweirad Handels GmbH,+43316581300,,,yes,bicycle,https://www.neubauer-zweirad.at/,node/288172339,,yes,no,AT,,,,,,,,https://commons.wikimedia.org/wiki/File:ZEG.jpg,yes,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.4084111,47.0718514]}"
Feature,node/290422098,Graz,57,8010,Rechbauerstraße,2025-08-06,,,"Mo-Fr 09:00-13:00,14:00-18:00",bicyle.at,+43 316 823026,,,yes,bicycle,https://bicycle.at/,node/290422098,,,yes,AT,,,,,,,,,,,yes,no,bicycle_rental,2025-08-06,rech@bicycle.at,+43 316 823099,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.4551828,47.0674114]}"
Feature,node/298896303,Aigen-Schlägl,2,4160,Krenbrücke,,,Rad und Nabe,,,,,,,bicycle,,node/298896303,,,,AT,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.9694677,48.6287592]}"
Feature,node/317000036,,50,,Halleiner Landesstraße,,buero@bergspezl.at,Bergspezl Handels GmbH,Mo-Fr 09:00-18:00; Sa 09:00-13:00,,+436245730000,,,yes,bicycle,https://www.bergspezl.at/,node/317000036,,yes,yes,,,yes,,,,,,,,,,,,,,,,yes,Funbike Center,116,Halleiner Landesstraße,Berg- und Radsportcenter,eingetragen von Bergspezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.0925592,47.7120964]}"
Feature,node/317839933,Wien,145-150,1090,,,wien9@mountainbiker.at,Mountainbiker.at,Mo-Fr 10:00-18:30; Sa 09:00-16:30,,,,,yes,bicycle,https://www.mountainbiker.at/,node/317839933,,,,AT,,,,,,,,,,,yes,,,2024-12-07,,,,,,,,,,Stadtbahnbogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3502576,48.2289599]}"
Feature,node/331418764,,,,,,2rad@autohaus-malin.at,2 Rad Malin Sulz,"Mo 08:00-12:00, 13:00-18:00; Tu 08:00-12:00; We-Fr 08:00-12:00, 13:00-18:00; Sa 09:00-12:00",,+43 5522 4431741,,,yes,bicycle,https://www.autohaus-malin.at/2rad,node/331418764,,yes,,,,no,,,,,,,,,,,,,,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.6546647,47.2897044]}"
Feature,node/333697323,Wien,75,1200,Leystraße,2025-08-20,office@fahrradtrappl.at,Fahrrad Trappl,"Mar-Jun: Mo 14:00-18:00; Mar-Jun: Tu-Fr 08:00-12:00,14:00-18:00; Mar-Jun: Sa 08:00-12:00; Jul-Sep: Mo 14:00-18:00; Jul-Sep: Tu-Fr 08:00-12:00,14:00-18:00; Oct 01-Dec 15: Tu-Fr 08:00-12:00,14:00-18:00; Feb: Tu-Fr 08:00-12:00,14:00-18:00; PH off",Christian Trappl,+43 1 3300696,,,yes,bicycle,http://www.fahrradtrappl.at,node/333697323,,,yes,AT,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3839507,48.237681]}"
